id,title,description,status,priority,created_date,resolved_date,resolution
39,AST _OUTPUT_ALIAS_PATTERN false-positive on numeric tokens from CAST type args,"Discovered during live BG028 verification: AST audit hard-stopped on iter 1 with unknowns ['alias:0', 'alias:100']. Root cause: _OUTPUT_ALIAS_PATTERN = re.compile(r'\bAS\s+(\w+)') captured numeric tokens from CAST type arguments like CAST(x AS DECIMAL(13,2)) where the digits 0 and 2 got matched as 'alias names'. Real SQL output aliases never begin with a digit.",resolved,medium,2026-04-22,2026-04-22,"Tightened regex to r'\bAS\s+([a-zA-Z_]\w*)'. Added tests/test_ast_alias_pattern.py with 8 unit-test cases including CAST(x AS DECIMAL(13,2)) AS metric, CAST(y AS INTEGER) AS counter, and regression cases for avg_x / vendor_id / month. 8/8 pass. BG028 no longer hard-stops on this class of false-positive."
40,Code Tables analyzer decoder-source allowlist hardcoded — now convention-discovered,Discovered during the demo-model expansion: Code Tables analyzer returned description_source='none' for zmm_approval_log's APPR_STATUS + REASON_CODE code columns even though decoder seeds zmm_approval_status / zmm_reason_codes existed. Root cause: analyzer's hardcoded allowlist only knew about movement_type_mapping / t156 / sap_data_dictionary. New decoder seeds required manual allowlist extension per seed.,resolved,medium,2026-04-22,2026-04-22,"Added _discover_decoder_candidates(conn) that queries main_seeds at runtime for decoder-shaped seeds (<=500 rows, 2-4 cols, has code-convention column + description-convention column). Injected into code_tables_analysis_prompt.md via new {decoder_candidates} placeholder. Re-run on zmm_approval_log: APPR_STATUS now maps to zmm_approval_status; REASON_CODE maps to zmm_reason_codes. Backward-compat list retained for SAP-standard decoders."
41,Layer A compile prompt citation discipline insufficient — strengthened,"Discovered during the Layer A compile for zmm_approval_log: source_dar_ids cited only 3 of 7+ DARs the LLM actually read. Dual root cause: (a) compile prompt did not mandate citing every DAR read; (b) legacy DAR types (completeness/dimensions/magnitude/code_tables) were injected as bare result_json without their DAR IDs, so the LLM literally couldn't see the IDs to cite them.",resolved,medium,2026-04-22,2026-04-22,"Added explicit CITATION DISCIPLINE section to semantic_model_compilation_prompt.md with worked example. Complementary fix in compile_semantic_model.py: legacy DAR injection now wraps each finding with its DAR id (_legacy_bundle helper returning {dar_id, finding}) so the LLM sees the ID it needs to cite. Recompile for zmm_approval_log now cites all 7 DARs consumed."
42,Trace gates_result missing attestation fields — companion to the BAR schema fix,"Discovered during live BG028 diagnostic: BAR-level semantic_model_consumed / dbt_semantic_model_consumed columns populate correctly (per the earlier BAR schema fix), but per-iteration iteration_trace[i].gates_result did NOT carry these fields. Post-hoc analysis of which Layer A / Layer B rows were cited in iteration N specifically was impossible — only the session-level union was available.",resolved,medium,2026-04-22,2026-04-22,Fixed: _trace_entry extended with semantic_model_consumed / dbt_semantic_model_consumed kwargs; gates_result dict now includes both. Iteration loop extracts from propose response once per iteration (iter_sm_consumed / iter_dsm_consumed) and threads through every _trace_entry call (happy path + all 7 hard-stop paths). Scenarios 15/16 extended to assert presence. Companion to the BAR schema extension.
43,Create S2T consumer for promoted BARs landed — pipeline closure term -> BAR -> dbt model,"This work closes the end-to-end pipeline: when a BAR is promoted (status='promoted', human-gated per anti-pattern #18), create_s2t_with_implementation in app/claude_api.py now dispatches through a new BAR-consumer path (create_s2t_from_promoted_bar) instead of regenerating SQL from scratch. The promoted BAR's final_query_sql is authoritative; the translation task only rewrites literal `main_<schema>.<model>` references to Jinja {{ ref() }} form, adds materialization config, and derives dbt tests + schema.yml description from term_conditions_covered + final_metric_interpretation. Post-translation audit enforces every emitted ref() is in BAR's dbt_semantic_model_consumed or Layer B. Fallback path (generator) preserved unchanged for terms without promoted BARs. Live demo verified end-to-end: BG028 promoted BAR -> generated fact_po_invoice_match_variance dbt model -> dbt run PASS -> dbt test PASS -> 184 materialized rows (90.48% avg three-way match rate, 105/135 approved exceptions) delivering plausible business numbers from a full 7-table scope including the Layer A-covered zmm_approval_log Z-table.",resolved,medium,2026-04-22,2026-04-22,"Implemented per the design. Landed artifacts: scripts/_bar_consumer.py (PromotedBarInput + resolve_promoted_bar, ~200 LOC); scripts/prompts/create_s2t_from_bar_prompt.md (translation prompt, ~100 LOC); app/claude_api.py dispatcher + create_s2t_from_promoted_bar + regex ref-audit (~200 LOC); scripts/verify_bar_promotion.py diagnostic (~80 LOC); scripts/run_create_s2t.py CLI wrapper (~110 LOC); scripts/regression_piece8.py scenario 21 (LLM-dep, ~100 LOC); dbt/models/marts/fact_po_invoice_match_variance.sql + schema.yml entry (live-demo materialization). Streamlit UI contract preserved (new `source` + `bar_id` top-level keys are additive). Total LOC: ~800 under the 400-600 soft estimate (materialization artifact adds to the spread). Cost: $0.455 term-analysis re-run + $0.14 Create S2T translation + $0.14 scenario 21 = ~$0.74 total."
44,SAP date-name heuristic missed *DT suffix (eket.EINDT uncovered by run_date_analysis),"Discovered during the BG002 EDA bootstrap: run_date_analysis.py skipped eket entirely because its date column EINDT ends in DT (not DAT/DATE/DATUM). Other SAP tables with *DT date columns (eban.FRGDT, eqbs.BEGDT, equi.INBDT) were also silently missed. MANDT (client code) matches the same suffix pattern but is NOT a date, so a naive relaxation would introduce false-positives.",resolved,medium,2026-04-22,2026-04-22,"Added _SAP_DT_SUFFIX_PATTERN (r'^[A-Z]{2,4}DT$') with _SAP_DT_BLOCKLIST={'MANDT'} to _is_sap_date_column_name in scripts/run_date_analysis.py. Verified on eket: EINDT now produces DAR-00057 (temporal_coverage: 2024-01-28 to 2026-03-25, 787d span, 0 gaps, 0% null). MANDT stays blocked. EDIT/DEBIT/CREDIT not matched (prefix length > 4 or doesn't end in DT). ~10 LOC."
45,run_code_tables_analysis hard-errored on tables with no source_column_roles entries,"Discovered during the BG002 EDA bootstrap: run_code_tables_analysis.py errored with '[error] no dimension-role columns on raw_sap.eket' when source_column_roles had no entries for eket. Any new scope table added via Stage A would trigger this hard-error, blocking analyzer invocation before source_column_roles population completes.",resolved,medium,2026-04-22,2026-04-22,"Added _discover_dimension_candidates_heuristic fallback that discovers candidate columns from information_schema when source_column_roles is empty for a table. Match criteria: VARCHAR with character_maximum_length <= 10, OR name ends with _STATUS/_TYPE/_CODE/_KEY/_IND/_FLAG/_CATEGORY, OR name is in _CODE_COL_SAP_NAMES (BWART, AUART, etc.). Cardinality window [2,50] filter applied same as roles-based path. Analyzer now exits cleanly with 'no dimension candidates found' info message when neither path yields candidates. Verified on eket: clean exit (eket has 3 keys + 1 date + 2 quantities, genuinely no code columns). ~60 LOC."
46,AST _FROM_JOIN_PATTERN over-matched EXTRACT/TRIM FROM col as table references,"Discovered during BG002 term-analysis iteration 1 verification: citation_audit_failure hard-stop surfaced unknown_refs: ['table:goods_receipt_date']. Root cause: _FROM_JOIN_PATTERN regex matched 'FROM' inside EXTRACT(QUARTER FROM m.goods_receipt_date), classifying the column as a table reference. Third AST regex false-positive class after the earlier _OUTPUT_ALIAS_PATTERN and _QUALIFIED_COL_PATTERN fixes.",resolved,medium,2026-04-22,2026-04-22,"Added _FUNCTION_FROM_PATTERN (matches EXTRACT/TRIM/SUBSTRING arg spans with inner FROM) + _strip_function_from_clauses helper that blanks those spans (length-preserving) before _FROM_JOIN_PATTERN runs. Added tests/test_ast_from_join_pattern.py with 8 cases covering EXTRACT(YEAR FROM date_col), EXTRACT(QUARTER FROM m.goods_receipt_date), TRIM(LEADING ' ' FROM col), SUBSTRING(name FROM 1 FOR 3), and genuine FROM/JOIN refs. 8/8 pass. Existing test_ast_alias_pattern.py still 8/8 pass (no regression). Known limitation: one level of parenthesis nesting; deeper nesting falls through to status-quo match. ~30 LOC + ~90 LOC tests."
47,z_tables_catalog static-layer loader queried non-existent business_purpose column,"Flagged by the loud-fail helper on every Create S2T invocation: static-layer loader in scripts/_context_assembler.py queried 'SELECT table_name, description, business_purpose FROM main_seeds.z_tables_catalog' but the seed's actual columns are table_name, description, important_fields, maintenance_transaction, rows_estimate. Binder error returned 0 rows on every scope, silently losing Z-table context from the bundle. Logged as an observation during the maintenance pass; fixed shortly after.",resolved,medium,2026-04-22,2026-04-22,"Dropped 'business_purpose' from the SELECT and from the _csv_fmt rendered header. New query is 'SELECT table_name, description FROM main_seeds.z_tables_catalog' - description already captures purpose for Create S2T context. Verified: Code Tables run on eket no longer emits the loud-fail warning. No direct substitute chosen since the other available columns (important_fields, rows_estimate) are semantically different from business_purpose. ~4 LOC."
48,Trace gates_result attestation could silently drop at BAR write,"Discovered during completion review of the trace-attestation fix: BAR-level semantic_model_consumed / dbt_semantic_model_consumed columns read from finalize.get(...) directly. If the LLM's finalization response omitted citations present in trace iterations (common when finalization budget is tight), BAR silently lost those citations even though trace[N].gates_result preserved them. Also: _union_field in _synthesize_finalization_from_trace read from it.get('response') which is never populated on trace entries (no-op union). Scenarios 15/16 'response'-key reads were broken for the same reason.",resolved,medium,2026-04-22,2026-04-22,"Added _union_attestation_from_trace_and_finalize(iteration_trace, finalize, field) helper that unions finalize.<field> + every trace[N].gates_result.<field>. BAR-level writes for semantic_model_consumed and dbt_semantic_model_consumed now route through this helper, guaranteeing BAR.<field> is a superset of every trace[N].gates_result.<field>. _union_field in _synthesize_finalization_from_trace also extended to read gates_result for Layer A/B fields. Scenarios 15/16 updated: read from gates_result instead of non-existent 'response' key, assert BAR-is-superset-of-trace[0] invariant. Added tests/test_bar_attestation_trace_union.py with 7 unit tests covering single-iter / multi-iter / finalize-drops / finalize-only / empty / layer B / order-preserving dedup. 7/7 pass. ~40 LOC + ~90 LOC tests."
49,sap_data_dictionary backfilled to full 326-row coverage (42 raw_sap tables),"Prior state: 57 hand-authored rows covering 9 tables (33 raw_sap tables had zero coverage, 8 partial, 1 full). Stage A depends on column-level business semantics; pre-backfill gap would have forced Stage A to reason from column names alone. Additionally: sap_data_dictionary was not in SAFEGUARDED_SEEDS, leaving it vulnerable to catastrophic truncation (parallel to the 2026-04 s2t_mapping incident that motivated the safeguard mechanism).",resolved,medium,2026-04-22,2026-04-22,"Extended schema with 2 new columns (description_source, needs_review) via dbt/seeds/schema.yml + CSV header rewrite. Implemented scripts/run_catalog_backfill.py (~330 LOC) — per-table LLM batching via claude-sonnet-4 with 5m prompt caching on the system prompt + directives block (cache_read 63200 tokens across 40 calls). 5-value description_source enum: sap_standard (253) / column_name_convention (4) / source_column_roles (12) / inferred (0) / existing (57). Zero 'inferred' rows is notable — LLM claimed full confidence across all 269 generated cells; Stage A consumers should apply their own confidence signals rather than relying on needs_review=1 as a coverage indicator. Validation: 0/269 rejections; 326/326 total rows; all 42 tables match information_schema column counts exactly; ground truth (MARD existing cells, ZMM_APPROVAL_LOG full) preserved with description_source='existing'. Cost: $0.7296 (wall 12.9 min, 40 API calls + 1 cache hit). SAFEGUARDED_SEEDS extended to include sap_data_dictionary (min_rows=300, max_delete=10). Per-table response cache at dbt/seeds/.catalog_backfill_cache/ (gitignored) enables resumable re-runs. One known edge: SERI.ANESSION_DATE got source=column_name_convention but blank data_type (validator only enforced type-required for sap_standard, not convention) - policy gap, low risk, flagged for future hardening."
50,sap_data_dictionary backfill produced zero inferred rows - LLM self-confidence uncalibrated,"The catalog backfill produced 269 generated rows, all claimed description_source in {sap_standard, column_name_convention, source_column_roles} with needs_review=0. Zero rows flagged as 'inferred'. LLM self-confidence is uncalibrated - not a calibrated coverage-gap signal. Stage A and downstream consumers should NOT rely on needs_review=1 to identify low-confidence catalog cells. Potential future work: periodically sample the catalog for analyst spot-check, or rerun with stricter prompt directives that require 'inferred' source for Z-prefix columns or columns with no role-tag signal.",open,low,2026-04-22,,"Deferred — no systematic fix available. LLM cannot be forced to admit uncertainty on command; the prompt directive requesting 'inferred' for low-confidence rows was not honored on any of 269 generated rows. Risk: confidently-wrong descriptions for non-standard fields. SERI.ANESSION_DATE was an example we caught by luck (typo in generator propagated to catalog via column_name_convention path, and analyst spotted it in an unrelated diagnostic). Mitigation: spot-check suspicious rows during review — especially Z-prefix (HT-custom) columns and any field with unusual naming. Accepted limitation, not a silent bug (the inaccuracy is observable when used); tracked here so future sap_data_dictionary revisits can schedule review passes."
51,raw_sap.seri.ANESSION_DATE renamed to ACCESSION_DATE - sample data typo fixed,"The sample data generator (scripts/generate_sap_sample_data.py L802) created a SERI table with column name ANESSION_DATE - a typo for ACCESSION_DATE. SERI is an invented sample table (not standard SAP we inherited); the typo propagated through raw_sap.seri (8777 rows), stg_sap__seri staging model, sap_data_dictionary catalog, source_column_roles, and dbt_column_lineage. Surfaced during catalog backfill verification (column fell into column_name_convention source without a data_type because LLM was appropriately conservative about the unusual field name).",resolved,low,2026-04-22,2026-04-22,"Pre-Stage-A cleanup pass: renamed throughout the stack. Generator L802 typo fix -> ALTER TABLE raw_sap.seri RENAME COLUMN (atomic, 8777 rows preserved) -> stg_sap__seri.sql updated -> sap_data_dictionary CSV row renamed (also populated data_type=DATE length=8 since rename promotes the row from 'LLM conservative' to 'clear convention') -> source_column_roles CSV row renamed -> dbt_column_lineage CSV row renamed -> reseeded all 3 affected seeds via --full-refresh -> rebuilt stg_sap__seri view -> grep-verified zero ANESSION hits in live code (only remaining reference is in known_issue #49 resolution text as historical record, intentionally preserved)."
52,Stage A (LLM-driven scope derivation) landed - Data Analysis Term Scope tab,"BG002 verification (pre-commit dcfc556) exposed an architectural gap: pre-authored s2t_mapping scopes were incomplete (BG002 had only eket+mkpf, lacking the ekko/ekpo/ekbe/mseg bridge chain), causing term-analysis hard-stops on citation audit. The term-analysis runner consumes scope; does not derive it. The gap was in the upstream assumption that analysts authored scope correctly at term-creation time. Stage A closes the gap with an LLM-driven derivation step between draft and approved.",resolved,medium,2026-04-22,2026-04-22,"Stage A: new Data Analysis tab '🧭 Term Scope' (FIRST tab; default landing changed). Workflow: draft term -> Propose Scope button -> LLM proposes tables + rationale + blockers + attestation -> analyst revises via composed re-prompt (add/remove/explain/free-text) -> Confirm writes s2t_mapping rows + sets status=scope_confirmed + stamps scope_derivation_history_json. Schema extended: business_glossary +1 column (scope_derivation_history_json) + accepted_values enum +5 values (scope_confirmed, domain_eda_pending, term_eda_pending, ready_for_s2t kept as forward-compat; only scope_confirmed wired by Stage A). Prerequisites readout shows per-table domain EDA status + deep-link-style instructions to Guided Analysis - Domain tab (Stage B/C deferred; term_eda status='not_applicable_yet' for now). Proof via regression scenario 22 (LLM-dep, $0.06): BG002 reset to draft, Stage A proposed {ekko, ekpo, eket, ekbe, mkpf, mseg} with confidence=high and zero blockers, confirmed cleanly, prerequisites readout worked, BG002 restored to approved state post-test. UI observable change: default Data Analysis landing is now Term Scope not Guided Analysis - Business Term; users navigating by habit will see the new tab first. Known limitations: approved-status terms cannot be re-derived via Stage A (must reset to draft first - intentional guard against clobbering curated scopes); Streamlit tab deep-linking not supported (next_steps hints are instructional text, not clickable). Stages B (domain EDA refactor) and C (term EDA) deferred to future sessions."
53,"Parquet-backed Streamlit views diverge from DuckDB after seed-writers - Stage A confirm_scope fixed, other writers deferred","Surfaced during Stage A live-dashboard verification. Architecture: app/db.py opens an in-memory DuckDB and registers every data/parquet/<schema>/<table>.parquet as a view (deliberately avoids opening cpe_analytics.duckdb to prevent Windows file-lock contention with dbt). Any seed writer that updates cpe_analytics.duckdb via dbt seed but skips the parquet export step leaves the Streamlit view catalog stale. Stage A confirm_scope initially did only dbt seed -> DuckDB had scope_derivation_history_json column, parquet did not -> Streamlit views failed with BinderError on scope_derivation_history_json references. Root cause is architectural divergence, not a one-off bug: any write path that doesn't call both {dbt seed OR direct DB write} AND export_parquet.py AND invalidate the view catalog will exhibit the same symptom.",open,medium,2026-04-22,,"Partial fix: scripts/_scope_derivation.py::confirm_scope now runs scripts/export_parquet.py as subprocess after dbt seed succeeds, then calls app.db.close_connection() to invalidate the Streamlit view catalog. Parquet export failure logs a warning but does not roll back (DuckDB + CSV are source of truth; parquet is derived). Scenario 22 regression passes export_parquet=False because its restore path would re-export wastefully. Follow-up needed: audit all other seed-writing paths for the same class of divergence. Candidates: BAR promotion (app/claude_api.py + app/pages/Business_Glossary.py), Create S2T consumer (scripts/_bar_consumer.py), Layer A/B compile (scripts/compile_semantic_model.py, scripts/compile_dbt_semantic_model.py), term-analysis BAR writes (scripts/_bar_writer.py), EDA analyzers writing DARs. Each should either route through app.db.save_and_sync (canonical pattern) or mirror Stage A's post-dbt-seed export+invalidate chain. Not addressed in this session."
54,Stage A blockers stored with resolves_in routing but not yet consumed by downstream EDA stages,"Stage A's scope derivation emits structured blockers with 6 augmentation fields (short_title, what_it_means, what_llm_needs, resolves_in, resolves_via, user_action_now — landed 2026-04-22 augmentation). `resolves_in` is the routing taxonomy: domain_eda / term_eda / analyst_decision / ingestion_required. Currently stored in scope_derivation_history_json.iterations[].llm_response.blockers[] and displayed in the Term Scope tab UI with expander + badge. NOT yet consumed by Domain EDA or Term EDA prompts. The cross-stage contract is documented in the design. Fix direction: Stage B (Domain EDA refactor) reads blockers scoped to its target table with resolves_in='domain_eda' and ensures the relevant analyzer fires. Stage C (Term EDA) consumes all term blockers and emits per-blocker resolution status. Neither is built yet.",resolved,medium,2026-04-22,2026-04-23,"Stage B landed [commit: 4c1593c] — blocker consumption via scripts/_stage_a_blocker_loader.py; prompt injection in 4 LLM-backed DAR analyzers (completeness, dimensions, magnitude, code_tables); blockers_addressed field in result_json uniform across all 8 DAR analysis_types (the 4 non-LLM types — date, segmentation, grain_relationship, performance_baseline — emit []). Stage C landed [commit: 8df7716] — closes full cross-stage blocker consumption pipeline (A→B→C). Term EDA consumes resolves_in='term_eda' blockers via scripts/run_term_eda.py; four-status enum (resolved/escalated_to_analyst/could_not_resolve/not_applicable) with a two-predicate test on `resolved`; blockers_resolution recorded on the sufficiency row per the cross-stage contract. Full pipeline now operational."
55,Stage B observation emission deferred,"Stage B v1 (landed 2026-04-22) consumes Stage A blockers only. The design explicitly permits Stage B to emit its own observations as DAR findings with analysis_type='observation' if the LLM discovers new concerns during analysis, but Stage B v1 does not implement this path. The blockers_addressed field already carries per-blocker resolution status; observation emission would be additive on top.",open,low,2026-04-22,,"Re-open when an actual pattern of useful Stage B observations is identified. Until then, analysts who want to surface new concerns can author them as Stage A blockers via Term Scope revise + confirm. Future implementation: extend run_*_analysis.py to emit observation DARs with analysis_type='observation' alongside the existing analysis_type rows, and update Term Scope tab to render those alongside Stage A blockers."
56,Term Scope tab does not render Stage B per-blocker status,Stage B (landed 2026-04-22) writes blockers_addressed into DAR result_json. The data is queryable but the Term Scope tab does not yet render per-blocker status across stages — the design's visibility invariant is only partially satisfied (Stage A blockers visible; Stage B addressing not surfaced; Stage C resolution not yet built). Connective tissue between 'Stage A flagged X' and 'Stage B addressed it as Y with evidence Z' lives only in raw DAR JSON.,open,medium,2026-04-22,,"Defer to a single UX pass once Stage C lands so the three-stage view can be built coherently. Until then: analysts can inspect blockers_addressed via the Per-Table Domain EDA section's 'blockers_addressed count' column on the analyzer status grid + click into the relevant DAR row in the existing DAR-browsing surfaces. Implementation when ready: extend Term Scope tab's blocker expander to show per-blocker addressing status from latest DAR per (term, table) + Stage C resolution status when available."
57,check_prerequisites next_steps omits tables with any existing DAR regardless of term context,"check_prerequisites filters scope tables to those needing Domain EDA by querying domain_analysis_results WHERE source_tables=<table> AND status='success'. This does not scope by term context — any existing success DAR for a table marks it ""done"" in next_steps even if the DAR predates the current term's confirmation. Observed during BG027 smoke test (2026-04-22): mseg and mkpf had pre-existing success DARs from 2026-04-19 (term-analysis dev work), so both were omitted from next_steps despite being in BG027's scope without BG027-context Domain EDA. Cosmetic — Domain tab reads blockers per-table directly, not via next_steps. May need term-context filtering or a ""needs refresh"" signal.",open,low,2026-04-22,,
58,DAR supersede behavior on same-(table analysis_type) re-runs not verified downstream,"Stage B smoke test produced a new code_tables DAR (DAR-00058) for mseg when a prior successful code_tables DAR for mseg existed (2026-04-19). Did not observe whether the prior DAR was marked status='superseded' automatically or whether both rows now coexist as status='success'. Downstream consumers (Layer A compile, check_prerequisites, Term Scope tab's ""blockers_addressed count"" column) rely on DAR status+recency conventions. Verify: (a) supersede-by pointer is written on the older row on re-run; (b) downstream consumers filter to latest-success-per-(table, type) correctly. Pre-existing behavior — not introduced by Stage B, but Stage B's UI makes re-run pattern easier to trigger.",open,medium,2026-04-22,,
59,Stage B blockers_addressed status picks generous 'addressed' when sibling-DAR context satisfies blocker,"Two BG027 smoke-test datapoints (DAR-00058 code_tables, DAR-00059 completeness) both produced status='addressed' for the BWART semantics blocker, but only DAR-00058 directly surfaced BWART distributions. DAR-00059 (completeness) cannot surface distinct values at all — its SQL produces null counts only. Yet its evidence text referenced ""prior domain analysis"" (DAR-00058 visible in context bundle) and picked 'addressed'. Pattern: LLM interprets the two-predicate test's ""analysis you ran on THIS table"" broadly, including sibling DARs in context, rather than strictly ""output from THIS analyzer's SQL."" Impact: Stage C routing loses signal on which blockers each analyzer individually addressed. Fix direction for the next prompt iteration: sharpen the predicate wording in the prompt to ""output from THIS analyzer's SQL"" with explicit directive that sibling DARs are context, not evidence. No code change needed — prompt-text-only tuning. Accumulate more datapoints before iterating.",open,low,2026-04-22,,
60,Legacy UI removed in Stage D.1 — data preserved for audit,"Stage D.1 removed the legacy domain_facts UI from the Domain Analysis tab (~354 LOC) and the legacy analysis_findings per-query exploration UI from the Business Term Analysis tab (~608 LOC). Underlying seed data (`dbt/seeds/domain_facts.csv`, `dbt/seeds/analysis_findings.csv`) remains in place for historical audit. schema.yml entries + `_context_assembler` loaders (business layer for domain_facts; dynamic layer for analysis_findings) preserved — term-analysis context bundles still reference these seeds where applicable. New writes go through Stage B per-table analyzer dispatch (DARs) and Stage C Term EDA (TARs). If analysts need to query historical legacy data, use direct DuckDB queries.",resolved,info,2026-04-23,2026-04-23,"UI removed in commit 80b1879. Seeds retained. Shared helpers (`rewrite_sql_for_staging`, `run_query_with_fallback`, `load_actual_staging_schema`) extracted to `app/_data_analysis_shared.py` so tab_explore and tab_report continue working post-deletion."
61,S2T tab hard-wired to legacy analysis_findings gate,"render_ask_claude in Business_Glossary.py required analysis_findings rows before rendering the Create S2T button (lines 1121-1139 of pre-Stage-D.2 code). Terms processed through the Stage A→B→C pipeline never produce analysis_findings rows and thus could not access Create S2T via the UI, even after reaching status='ready_for_s2t'. Blocked end-to-end analyst workflow; forced manual Python dispatch for staged-pipeline terms.",resolved,high,2026-04-23,2026-04-23,"Stage D.2 refactored render_ask_claude with dual-path gate: legacy (analysis_findings rows exist) OR new-pipeline (status IN ('ready_for_s2t', 'approved')). Both paths now reach the Create S2T button. Pipeline-state awareness added to tab_spec: status badge + pipeline progress strip + action panel with deep-links to Data Analysis tabs. Helpers extracted to `app/_s2t_tab_helpers.py`. Eligibility logic extracted to pure `is_s2t_eligible` function with dedicated unit tests. Commit 9c29be8."
62,Re-run S2T flow — deferred from Stage D.2,"Stage D.2 originally specified a Re-run S2T button for approved+non-empty terms. Dropped because re-running collides with deployed .sql files and existing s2t_mapping rows — `create_s2t_with_implementation` has no archival semantics. Safe re-run requires (a) renaming existing `dbt/models/<layer>/<target_model>.sql` into `archive/<ARC-ID>/`, (b) superseding s2t_mapping rows for the term before regeneration, (c) a rollback path if the new run fails. Too large for Stage D.2.",open,medium,2026-04-23,,"Workaround: analyst can deny the approved S2T (via tab_detail approval form) to preserve audit trail, then re-run via legacy path if analysis_findings exists; OR archive the entire term and recreate. Proper fix: separate follow-up commit specifying archival policy for in-place S2T re-runs. Scope: design doc + runner changes + new rollback tests."
63,business_glossary.status='denied' missing from accepted_values,"render_approval_form in Business_Glossary.py writes status='denied' when an analyst denies a term (line 1079 of pre-Stage-D.2 code). But schema.yml's accepted_values enumeration for business_glossary.status did NOT include 'denied'. Any successful denial would have failed `dbt test` on the next seed cycle. Pre-existing gap, not introduced by Stage D.2.",resolved,medium,2026-04-23,2026-04-23,Stage D.2 added 'denied' to schema.yml:172 accepted_values for business_glossary.status. Also wired denied-status handling in tab_spec action panel (renders notes_excerpt from business_glossary.notes as best-effort denial context since no structured denial_reason column exists). Commit 9c29be8.
64,Stage D.2 gating used term_s2t.empty — misrouted Stage A-only mappings,"Stage D.2 tab_spec branched on `term_s2t.empty` and passed the same flag to `get_s2t_action` as `term_s2t_empty`. But Stage A's `_scope_derivation._rewrite_s2t_for_term` writes s2t_mapping rows at scope_confirmed time with `target_model=NULL` (source-only rows carrying scope + rationale, no target mapping yet). For a term like BG027 at status='ready_for_s2t' with 5 Stage A rows, `term_s2t.empty` was False so tab_spec routed into the existing-S2T lineage/SQL/samples branch — the ""🤖 Create S2T with Claude"" button never rendered. Broken for every staged-pipeline term at ready_for_s2t until Deploy had populated target_model.",resolved,high,2026-04-23,2026-04-23,"Introduced `has_piece8_s2t_rows(term_s2t_df)` discriminator in `app/_s2t_tab_helpers.py` — returns True iff at least one row has populated `target_model`. Renamed `get_s2t_action` parameter from `term_s2t_empty` to `has_piece8_mapping` (inverted semantics) with docstring explaining the Stage A / Deploy distinction. tab_spec branch + caller updated. 3 new unit tests for the helper (empty df, Stage A only, mixed Stage A + Deploy row). 4 existing get_s2t_action tests renamed/flipped to match new semantics (ready_for_s2t / approved × with/without mapping). Commit b51eac9."
65,Scope re-derivation may delete Deploy-produced s2t_mapping rows,"`_scope_derivation._rewrite_s2t_for_term` at scripts/_scope_derivation.py:752 deletes ALL prior s2t_mapping rows for the term before inserting Stage A rows. If an analyst re-runs scope derivation on a term that has already been through Create S2T + Deploy, the Deploy-produced rows (target_model + transformation_logic_plain + join/filter descriptions) are silently destroyed. No warning, no archival. Latent hazard: UI currently allows scope re-derivation on any term regardless of whether Deploy has landed.",resolved,medium,2026-04-23,2026-04-24,"Added _has_deployed_s2t_rows(term_id) helper + guard in confirm_scope (scripts/_scope_derivation.py) that refuses re-derivation when any s2t_mapping row for the term has target_model populated. Returns ConfirmationResult(success=False) with actionable error text pointing to Direction C (Re-run S2T flow) and the workaround (create new term). Narrow hotfix: no primitive integration, no cascade, no successor handling — those ship in Direction C. 3 new unit tests in tests/test_scope_derivation.py validate happy/blocked/unknown-term paths. Single-file change + test file (verified UI caller at Data_Analysis.py:1144 already renders ConfirmationResult.error via st.error). Commit 7509c6e."
66,s2t_mapping undocumented in schema.yml,"schema.yml has no entry for s2t_mapping. The 14-column shape (id, business_term_id, business_term_name, source_table, source_field, source_description, target_model, target_column, transformation_logic_plain, transformation_logic_sql, join_description, filter_description, notes, transformation_logic_plain_business) is derived from CSV header + DuckDB introspection only. No not_null tests, no accepted_values for target_model layer prefixes, no relationships test to business_glossary.id. dbt tests cannot catch schema drift or orphan rows.",open,low,2026-04-23,,
67,Deploy appends to s2t_mapping without dedup vs Stage A rows,"Create S2T + Deploy at Business_Glossary.py:1448 opens s2t_mapping.csv in `'a'` (append) mode and writes per-source-table rows with populated target_model. Stage A rows for the same term (target_model=NULL, notes='stage_a_derived') are not deleted or superseded. Both coexist indefinitely. Existing-S2T rendering in tab_spec mostly dropna's target_model so the duplicate rows are hidden from Target, S2T Full SQL, and Sample Data panels. But the Source Tables panel (Business_Glossary.py:2305-2311) iterates `term_s2t[['source_table', 'source_field', 'source_description']].drop_duplicates()` — if Stage A and Deploy wrote the same (source_table, source_field), they collapse fine; if they diverged on source_description text, the panel shows both. Cosmetic only, no downstream data-quality impact.",open,low,2026-04-23,,
