id,date,decision,hypothesis,what_we_did,what_happened,conclusion,version,never_repeat,reverted
54,2026-04-18,pandas_timestamp_not_datetime,"pandas.Timestamp is a subclass of datetime.datetime so isinstance(ts, datetime) returns True but its tz-manipulation methods delegate to pandas-specific implementations. ts.replace(tzinfo=X) does not behave like datetime.replace(tzinfo=X) — it calls tz_convert internally expecting different argument counts which raises TypeError tz_convert takes exactly 2 positional arguments (1 given). Data read from parquet arrives as Timestamp data from datetime.now arrives as datetime. Mixed code paths are the trap.",Fixed app/freshness.py. _fmt_local at L175-185 now normalises pd.Timestamp to python datetime via to_pydatetime() before attaching UTC tzinfo and calling astimezone. _to_utc_naive at L43-54 now also normalises Timestamp to datetime at the top of its isinstance branch so the subsequent astimezone plus replace(tzinfo=None) chain stays in stdlib-datetime semantics. Both functions now handle None NaT Timestamp and datetime inputs uniformly.,V4 probe confirmed: _fmt_local returns never for None and NaT; renders Timestamp naive Timestamp with tz and datetime all with the same local-timezone string. _to_utc_naive returns proper naive-UTC datetime for each input type and None for NaT. compute_freshness_state runs without TypeError.,For any function that may receive either pandas.Timestamp or datetime.datetime normalise to datetime via to_pydatetime() before attaching tzinfo. Alternative: stay in pandas land via Timestamp.tz_localize(X) and Timestamp.tz_convert(Y). Never chain .replace(tzinfo=X).astimezone() on a value that might be a Timestamp. See RULE 36.,v1.8.4,true,false
55,2026-04-18,close_connection_clears_module_state,close_connection() in app/db.py was the authoritative drop-all-state signal but cleared only two of four state locations: get_connection @st.cache_resource plus st.cache_data on query. It left _registered_views dict and _last_view_scan_mtime untouched. After a Deploy button run which calls close_connection() at the end the next get_connection() built a fresh DuckDB connection but _register_parquet_views saw _registered_views already claimed all 161 paths and skipped every CREATE OR REPLACE VIEW. Fresh connection had zero views. Module state claimed 161. Queries failed with Catalog Error until Hotfix 2 drift-detection rescued them on the next call — but that rescue fires on every Deploy because the drift is being introduced at the signal source not repaired.,Added two lines at the top of close_connection() in app/db.py before the existing two cache clears. _registered_views.clear() plus _last_view_scan_mtime = 0.0 and declared both as global. Four state locations now clear together on one signal. Hotfix 2 drift-detection stays in _refresh_views for the other trigger class (Streamlit file watcher re-imports db.py independently of close_connection). Two safety nets for two scenarios.,V1 live probe: primed state 26 rows plus 162 registered views plus mtime. Called close_connection. State zeroed: views=0 plus mtime=0.0. Next query rebuilt cleanly 26 rows plus 162 views plus mtime refreshed. V2 ast.parse: OK. V3 live Streamlit test handed off to user to click Deploy plus Term Detail and confirm no catalog error.,close_connection() is the authoritative state-reset signal. It clears all four state locations: get_connection cache st.cache_data _registered_views _last_view_scan_mtime. Fix at the signal source not via downstream detection. RULE 27 extension 2026-04-18 #2 codifies this invariant.,v1.8.5,true,false
56,2026-04-18,csv_safeguard_prevents_silent_truncation,s2t_mapping.csv was wiped to header-only mid-session and forensics could not identify the exact code path that truncated the file. The verify harness that was the most plausible culprit had been deleted but we had no guarantee another pd.read_csv-mutate-pd.to_csv pattern anywhere in the codebase could not repeat the same truncation.,Added app/_csv_safeguard.py exposing assert_csv_safe(path df) plus assert_csv_safe_row_count(path n) helpers keyed off SAFEGUARDED_SEEDS with s2t_mapping rule min_rows_absolute=30 max_delete_per_op=10. Wired into three s2t_mapping writers: Business_Glossary.py Deploy step a (csv.DictWriter append) uses the count variant after the append loop. Business_Glossary.py rollback (pd.read_csv-iloc-to_csv) uses the df variant before to_csv. scripts/sync_s2t_from_dbt.py adjusts sys.path to import from app/ and calls the df variant before save_csv(s2t_mapping).,V1 Deploy adds 5 rows 33-to-38 passes. V2 rollback 38-to-33 delta=5 passes. V3 Rule 14 minus-4-plus-6 net plus-2 passes. V4 0-row write raises min_rows message. V5 20-row write on 38-row baseline raises (floor catches first since 20 less than 30). All five verifications green. No regression to existing Deploy or Build-S2T flows.,Guard at the write boundary not at every suspect pandas roundtrip. One helper per seed rule dict. When the safeguard raises never bypass via try/except — fix the root cause either in the writer or by widening the rule bounds for a new legitimate operation. See RULE 37.,v1.8.6,true,false
57,2026-04-18,csv_dictwriter_truncate_trap,"csv.DictWriter opens the file in ""w"" mode (truncates to 0 bytes) BEFORE validating row dict keys against the declared fieldnames. If any row carries an extra key, DictWriter raises ValueError mid-write — AFTER the file has been truncated and the header line written. Result: corrupted header-only CSV (205 bytes on a 13-field schema). Root cause of intermittent s2t_mapping.csv wipes across a series of hotfixes; safeguard row-count check alone could not catch it because rows had 40 items at write time, passing min_rows_absolute=30 and max_delete_per_op=10.","Reproduced the wipe deterministically via an instrumented end_of_task replay. In sync_s2t_plain_from_dbt.py main(): fieldnames is captured at L357 from s2t[0].keys() (13 keys). A second loop at L445-494 adds transformation_logic_plain_business to each row dict. The save_csv call at L496 was passed the STALE 13-field fieldnames list — every row had the new 14th key. Traceback: csv.py line 220 _dict_to_list raises ValueError on row 0. By then path.open(""w"") at save_csv L68 had already truncated the file and writeheader() had written 205 bytes. Dual fix applied: (1) refresh fieldnames via dict.fromkeys at L496 covering all keys in current rows; (2) new assert_fieldnames_cover_rows in app/_csv_safeguard.py wired into save_csv helpers in both sync_s2t_from_dbt.py and sync_s2t_plain_from_dbt.py BEFORE the path.open(""w""). Row-count check runs first (cheap common bug) then fieldnames check second (catches schema drift).","V1 Fix-1-live: 14-column save succeeds 33-row preserved. V2 Fix-1-reverted: Fix-2 RAISES RuntimeError with precise message ""Row 0 has keys not in fieldnames: [transformation_logic_plain_business]"" BEFORE file truncation — file stays 33 rows on disk. V3 Fix-1-reapplied: V1 scenario reconfirm PASS. Bonus: row-count guard still fires on 0-row save. All three safeguards layered: row-count + fieldnames + rule14-placeholder-schema match.","Never trust that a writer helper validates its inputs before mutating the output file. csv.DictWriter truncate-then-fail is the reference case but any ""open for write then validate"" pattern has the same trap. Move all validation BEFORE file.open(""w""). For seeds with evolving schemas (new derived columns added by downstream LLM enrichment), refresh fieldnames from actual row keys at each write site rather than capturing once at function entry. See RULE 37 extension.",v1.8.7,true,false
58,2026-04-18,empty_csv_corrupts_duckdb_schema_inference,"When dbt seed --full-refresh loads an empty header-only CSV (e.g. after a DictWriter truncate-trap or any wipe event), DuckDB's CSV sniffer has no data rows to infer types from and falls back to INTEGER for every column. That broken schema persists in cpe_analytics.duckdb — every subsequent non-refresh dbt seed fails with Conversion Error when trying to append VARCHAR data (e.g. ""S001"", ""BG001"") into the INTEGER-typed columns. Invisible collateral damage from any wipe event — can block re-Deploy even after the CSV itself is restored to a valid 33-row state.","Observed in the 08:00 re-Deploy of BG026 cpe_active_deployed_count. Step c (dbt seed --select s2t_mapping WITHOUT --full-refresh) failed with rc=1: Conversion Error on Line 2, ""Could not convert string S001 to INTEGER"". The CSV itself was valid (33 rows, VARCHAR data, LF-only) but DESCRIBE main_seeds.s2t_mapping showed all 13 columns typed INTEGER with 0 rows — the 02:39 end_of_task.py had --full-refresh-loaded the wiped header-only CSV and DuckDB inferred INTEGER. Deploy rollback correctly reverted Step a's 5 rows; git diff was empty. Fix: one-shot dbt seed --full-refresh --select s2t_mapping against the restored 33-row CSV, then export_parquet. VARCHAR re-inferred; ready for re-Deploy.",After fix: DESCRIBE main_seeds.s2t_mapping shows (id VARCHAR) and 12 similar entries with all columns VARCHAR 33 rows. Parquet re-exported with correct types. dbt seed round-trip no longer fails on VARCHAR-into-INTEGER. No regression to other seeds — only s2t_mapping was affected because it was the only seed the wipe event truncated.,"After any wipe event that resulted in a --full-refresh against a header-only CSV, DO NOT try to re-populate via non-refresh dbt seed. Always run dbt seed --full-refresh --select <seed> once against the restored CSV before resuming normal operations. Consider adding a guard in end_of_task.py CRLF-normaliser loop: if a seed CSV has only a header line (no data rows), skip the subsequent --full-refresh for that seed so the prior valid schema stays in DuckDB. See also decision #57 csv_dictwriter_truncate_trap — this is the downstream collateral symptom.",v1.8.8,true,false
59,2026-04-18,deploy_auto_retry_with_error_feedback,"LLM-generated dbt model SQL frequently references non-existent columns via plausible-but-wrong names — classic adjacent-column hallucinations like ""material_description"" instead of ""model_description"". Without auto-retry every such Deploy rolls back immediately and the user has to hand-edit SQL or fall back to Guided Analysis. Token cost is small (each repair prompt is shorter than the original create_s2t_with_implementation call); error messages are the cheapest teacher — pass them back instead of rolling back.","Added an auto-retry loop around Step d (dbt run) in app/pages/Business_Glossary.py. Max 3 attempts total. On each subprocess.CalledProcessError the loop: (1) parses stderr/stdout for Binder column-not-found patterns (Referenced column ""X"" not found + Candidate bindings: Y Z W + Failure in model M), (2) parses the .sql file on disk for {{ ref(name) }} calls, (3) dumps information_schema for each ref across main_staging/main_marts/main_obt/main_knowledge/main_vault/main_seeds, (4) calls new claude_api.repair_dbt_model_sql(model_filename, current_sql, dbt_error_text, schema_dump) which returns JSON with corrected SQL preserving jinja refs, (5) overwrites the .sql file and retries dbt run. Non-Binder errors (syntax, timeout, permission) skip the retry and go straight to rollback. After 3 failed attempts the rollback path fires with an enhanced fail_error message directing the user to Guided Analysis -- Business Term for deeper context before retrying.","V1a parser: extracted col=""material_description"" candidates=[""material_number"",""model_description"",""days_since_receipt"",""manufacturer"",""serial_number""] model=""obt_active_cpe_count"" from real 08:41 dbt error text. V1b schema dump: {{ ref(""dim_equipment"") }} + {{ ref(""fact_goods_movements"") }} both resolved in main_marts with full column lists including the correct model_description. V1c live API call: repair_dbt_model_sql returned {""sql"": ""WITH x AS (...) SELECT equipment_number, model_description FROM x""} — hallucinated column replaced with the correct candidate automatically. V2: simulated 3 persistent failures; retry loop capped at 3; rollback path triggered with Guided Analysis message. V3 deferred to user live Deploy.","Any LLM-to-SQL-to-execution loop should pass failures back with (a) the raw error, (b) any candidate-bindings hint the engine offers, (c) actual information_schema of referenced tables. All three are needed — without schema context the LLM just guesses again at the same class of error. With them the LLM usually picks correctly on attempt 2. Cap retries at 3 and degrade gracefully to Guided Analysis for pathological cases. See RULE 38.",v1.9.0,true,false
60,2026-04-18,subprocess_timeout_raised_for_end_of_task,"_run_subprocess timeout=300s (5 min) was too tight for Step f end_of_task when the deploy auto-retry triggers Rule 14 placeholder insertions. Those placeholders invalidate sync_s2t_plain cache entries (new IDs + new SQL hashes) so each gets a fresh LLM call, adding 60-90s to the aggregate. 09:02 Deploy TIMED OUT at exactly 300s despite retry and Step d/e succeeding.","Added optional timeout kwarg to _run_subprocess in Business_Glossary.py (default=300 preserves prior behavior for dbt seed/run/test). Step f call site now passes timeout=900 (15 min). V1 end_of_task standalone measured at 260.7s on warm-ish cache — 900s gives ~640s headroom for cold-cache retry scenarios. Updated the TimeoutExpired branch error text from ""Timed out after 5 minutes"" to ""15 minutes"" so user-facing failure messages match actual cap.",V1 live probe: end_of_task.py rc=0 elapsed=260.7s on current (warm) cache state. No step timed out. WARNINGS emitted about wiki regen + context regen (unrelated). Only Step f got the timeout bump — dbt seed/run/test still bounded at 300s each so hung dbt jobs still fail fast. No regression to other subprocess call sites.,"Per-step timeouts: dbt operations get the baseline 300s; Step f end_of_task gets 900s because it chains ~6 sub-scripts with variable LLM call count. When deploy retries introduce new placeholder rows, cache-miss LLM regen is the dominant cost. Escalate future timeout increases only if end_of_task exceeds 900s on a DEMONSTRATED cold-cache baseline — otherwise fix the upstream churn.",v1.9.1,true,false
61,2026-04-18,rollback_tracks_ids_not_positions,"Deploy _rollback() in Business_Glossary.py used df.iloc[:-s2t_rows_added] which assumes Step a appends are the LAST rows. Rule 14 enforcement inside end_of_task can insert placeholder rows AFTER Step a (observed: 09:02 Deploy left CSV at 36 rows instead of 33 after rollback — Rule 14 added 7 placeholders between Step a and rollback, and iloc[:-4] dropped the last 4 placeholders instead of Step a rows). Position-based rollback is brittle to any downstream write between append and rollback.","Added written_s2t_ids: list[str] tracked alongside s2t_rows_added. Step a appends now append each freshly-assigned S0xx ID into written_s2t_ids immediately after writer.writerow. _rollback() replaces df.iloc[:-s2t_rows_added] with df = df[~df[""id""].astype(str).isin(written_s2t_ids)]. The logged message now reports both the count removed AND the tracked ID list so post-hoc forensics can verify which rows were targeted.","V3 simulation: pre-Step-a 33 rows. Step a appends S034-S037 (tagged). Rule 14 drops S034+S035 as orphans and inserts 5 P-prefixed placeholders. Rollback-by-ID identifies remaining Step a IDs (S036, S037) and removes only those. Final state: 33 original rows intact, 0 Step a IDs remaining, 5 Rule 14 placeholders preserved (intentional — they are Rule 14 artifact, not Step a). PASS.","Any rollback following an append operation that may be chased by other writes must track specific identifiers. iloc[:-N] is a position-based rollback and assumes single-writer invariant. When a multi-stage pipeline can modify the same table between append and rollback, swap to id-based predicates. See RULE 39.",v1.9.1,true,false
62,2026-04-18,rollback_cleans_rule14_orphans,Post-Hotfix-1 V3 test revealed: rollback-by-ID correctly removes Step a tagged IDs but leaves Rule 14 placeholder rows that piggy-backed on the same target_model. Those placeholders reference the .sql file that rollback also deletes — so next end_of_task scan sees orphan rows pointing to non-existent models. Not fatal (next scan flags + cleans them) but leaves CSV inconsistent between a failed Deploy and the next attempt.,"Extended _rollback() in Business_Glossary.py. Compute deleted_model_names = {Path(fp).stem for fp in written_files if fp.endswith("".sql"")}. Build keep-mask that drops rows matching EITHER Step a IDs (step_a_mask) OR (business_term_id == term_id AND target_model in deleted_model_names AND not already counted in step_a_mask). The term_id scope is a safer proxy than a was_new flag: it ensures rollback never touches rows belonging to a different term that happens to reference the same target_model name (e.g. an older term redeployed that also output to obt_active_cpe_count). Read CSV with keep_default_na=False dtype=str so the filter comparisons see the raw string values, not parsed NaN.","V1 simulation: 33 base + 4 Step a (S038-S041 BG026 obt_active_cpe_count) + 3 Rule 14 (S042-S044 same BG026 same model) → 40 rows. Rollback with written_files=[obt_active_cpe_count.sql] and term_id=BG026 returned {removed_step_a: 4, removed_orphans: 3, after: 33}. PASS. V2 isolation: 33 base + 2 BG999 rows on same model + 2 BG026 Step a → 37 rows. Rollback scoped to BG026 returned {removed_step_a: 2, removed_orphans: 0, after: 35}. BG999 rows untouched. PASS. Isolation holds even when unrelated term happens to reference the same target_model name.",Rollback must clean not just the primary append (tracked by IDs) but also any downstream artifacts that piggy-backed on the same resources — here: Rule 14 placeholders that reference the .sql files this rollback is deleting. Scope the downstream cleanup to the current term_id so unrelated rows are never touched. The safer_proxy approach (term_id scope) is chosen over a was_new flag on .sql files — it handles re-Deploy of an existing term correctly without extra tracking state. See RULE 39 extension #2.,v1.9.2,true,false
63,2026-04-18,semantic_validation_gate_phase14,"SQL that compiles and runs is not proof it measures what the business term claims to measure. Example: cpe_active_deployed_count first Deploy produced a company-level single-row aggregate even though term.grain says ""per serial number"". dbt run, dbt test, and end_of_task all reported success. Numbers in the dashboard were wrong. No existing Deploy step catches semantic (as opposed to syntactic) mismatch. The deploy auto-retry handles only parseable Binder errors.","Added a semantic validation gate BETWEEN Step d (dbt run) and Step e (dbt test) in app/pages/Business_Glossary.py. Two new helpers in app/claude_api.py: validate_model_semantics(term_row, model_name, model_sql, row_count, column_types, sample_rows) returns {match, issues[], summary}, and repair_semantic_mismatch(term_row, model_sql, issues) returns {sql}. Validator checks three DETERMINISTIC dimensions only — grain / filter / unit. Definition drift intentionally skipped: subjective, overlaps, risks false positives. Conservative stance: only severity=critical blocks Deploy; warnings are informational. For each written .sql file, per-model loop: read SQL, query COUNT(*) + DESCRIBE + LIMIT 5 from main_<layer>.<model>, call validator. If critical: call repair, overwrite .sql, re-run dbt for that model, loop. Max 3 attempts total. Two fail modes feed into existing rollback: failed_step=""semantic validation"" (exhausted retries) with Guided-Analysis pointer message, OR failed_step=""semantic repair"" when a repaired SQL no longer compiles.","V1 live API grain mismatch (term=per plant, SQL=COUNT(*) whole-company): match=False critical=1 grain_critical=1. V2 live API filter mismatch (term says exclude blocked suppliers, SQL lacks WHERE): match=False critical=1 filter_critical=1. V3 live API happy-path (cpe_active_deployed_count existing compiled SQL vs grain=""per serial number""): match=False critical=1 grain — validator independently detected the exact same mismatch the user archived the term for. V4 retry-cap covered by code inspection: sem_attempt >= SEMANTIC_MAX_ATTEMPTS sets failed_step, fall-through to rollback; broken_by_repair arm handles the case where a repaired SQL no longer compiles. Token budget: happy path ~1500 tokens; worst case 3 validate + 2 repair ~8k tokens, cheaper than one Guided Analysis cycle.","Semantic validation belongs inside the Deploy flow, not downstream. Compile-time green means nothing for business-correctness. When cost-bounding the validator: only deterministic dimensions that can be checked against declared term attributes (grain, filter, unit). Skip definition drift — it is subjective and overlaps with the other three. Bias toward false negatives (accepting ambiguous cases) since blocking a legitimate Deploy is much worse than letting one through. The live V3 test exposing the cpe_active_deployed_count grain bug validates the choice to ship this gate. See RULE 40.",v2.0.0,true,false
64,2026-04-18,archive_filter_propagated_to_all_selectors,"Business Glossary term selector correctly excluded archived rows via an _active_glossary post-filter at L2071-2075, but Data Analysis Guided Analysis selector loaded the full glossary unfiltered and showed archived terms in its selectbox. Separately the Create-S2T prompt in Business_Glossary.py passed the full business_glossary CSV (including archived rows) to the Claude prompt — archived terms could confuse the LLM about whether a term exists and recycle stale definitions into new suggestions.","Data_Analysis.py L412-417 now post-filters: _active_glossary = glossary[glossary.get(""status"",""active"").astype(str) != ""archived""]; term_pool derives from _active_glossary (preserving the existing domain filter via intersection). Business_Glossary.py L1231-1234 Create-S2T prompt query now has WHERE COALESCE(CAST(status AS VARCHAR), """") != ""archived"" so the glossary_text blob sent to Claude does not include archived rows.","V1: glossary=27 rows archived=1 (BG026); _active=26; BG026 is in full but not in _active. V3: prompt glossary query returned 26 rows, zero of them status=archived. V4 cross-page audit: the only remaining unfiltered read is components/metric_card.py L15 which is a LOOKUP-BY-ID for tooltip display (archived lookup is legitimate audit, not a selector). No third bug.","Every business_term selector AND every LLM prompt that includes glossary rows must filter WHERE status != ""archived"". Archived stays in table for audit but is invisible to operational UI and AI. Lookup-by-ID call sites (e.g. tooltip from metric_card) are exempt because they legitimately render data for any id passed in. See also decision #47 learning_signal filter and #58 empty_csv_corrupts_duckdb_schema_inference.",v2.0.1,true,false
65,2026-04-18,analysis_inheritance_via_term_name,"analysis_findings rows are written keyed by business_term_id (e.g. ""BG026""). When a term is archived and the user creates a fresh term with the same term_name (which the glossary uniqueness constraint allows — WHERE status != archived), the new term got a NEW business_term_id (e.g. ""BG039"") and all prior Guided Analysis insights stored against the archived BG026 became invisible to the new term. Orphaned insights = forced re-analysis every archive cycle.","Read-time resolution in Data_Analysis.py L444-462 (the ""Existing findings"" block). Current term is resolved to its term_name; glossary is scanned for EVERY id that shares that term_name (active plus archived); analysis_findings is filtered with .isin(matching_term_ids). The write path at L862 still persists against the CURRENT term_id so the historical FK stays intact for audit. Read aggregates across the whole term_name family.","V2 simulation: current glossary has term_name=cpe_active_deployed_count across two ids (BG026 archived, BG027 draft). analysis_findings has 5 rows for BG026. Simulated adding BG999 as a freshly-created same-name term; resolver returned matching_term_ids=[BG026, BG027, BG999]; findings.isin() pulled the 5 BG026 rows under the fresh term. PASS. Write path unchanged at L862 — new findings still get the current term_id as FK.","Preserve historical FKs on writes; resolve by stable natural key on reads. term_name is the stable natural key for a business term across archive/re-create cycles. This pattern avoids schema churn (no foreign-key column swap, no migration) and also preserves audit trail (old BG026 rows stay tagged as BG026 so historical analytics remain correct). Resolution is O(number_of_glossary_rows_with_same_term_name), negligible in practice.",v2.0.1,true,true
66,2026-04-18,lookup_scope_matches_selector_scope_projectwide,"Fix A (hotfix 6) filtered selectors via _active_glossary but the POST-SELECTION lookup at three Business Glossary tabs still used the full glossary with iloc[0]. When an archived row and a draft row share the same display_name (archive-then-recreate-same-name flow), ORDER BY id puts the archived row first, and iloc[0] picks it — every tab resolves to the archived term even though the selector only offered the active one. User interpreted this as ""Fix B analysis inheritance is working"" because they saw archived-term data surface under what they thought was the new term. In reality they were just looking at BG026 directly; inheritance was never exercised.","Comprehensive app/ grep for post-selection glossary lookups. Classified each hit as SELECTOR (must use _active_glossary) / AUDIT (by explicit id — OK to leave) / LLM-PROMPT (should filter archived). Added _resolve_active_term(selected_name) helper in Business_Glossary.py that scopes to _active_glossary, defensively handles empty-match (error+stop) and multi-match (sort by created_date desc then iloc[0]). Replaced L2191 (Term Detail), L2345 (S2T Specification), L3123 (Data Quality) with helper calls. Separately patched three LLM-prompt context leaks in Data_Analysis.py (L571 Guided Analysis Term, L1105 Guided Analysis Domain, L1728 Domain Report) to filter archived rows before passing glossary_text to Claude. Total 6 fix sites. Audit lookups (metric_card tooltip L38, Data_Analysis L1604 L1776) intentionally unchanged.","V1: ""Active Deployed CPE Count"" appears ONCE in _active_glossary (BG027) vs TWICE in full glossary (BG026 + BG027). V2/V3/V4: _resolve_active_term returns BG027 draft — Term Detail, S2T Specification, Data Quality tabs all resolve to the active term now. V5 FIX B EMPIRICALLY CONFIRMED: analysis_findings has 5 rows (AF039-AF043) keyed to archived BG026; inheritance resolver via term_name pulls them under fresh BG027 selection. Decision #65 is now not just correct-by-construction but empirically verified. V6 domain list unchanged (BG026/BG027 both domain=inventory). V7 audit lookup by explicit id still returns both terms intact for metric_card tooltip.",Selector-lookup scope must match selector-list scope. Any post-selection resolution that feeds UI content must scope to the same filter as the list of options — mismatched scope lets non-listed rows win the lookup. Centralise the resolution in a helper (_resolve_active_term) so future selectors get correct behavior by default. LLM-prompt context is a separate scope question: archive usually wants exclusion (same filter as selector) unless the feature is explicitly about audit. RULE 42 revision emphasises project-wide applicability — audit every selector-lookup pair on any significant refactor.,v2.0.2,true,false
67,2026-04-18,fix_b_reverted_archive_is_final,"Fix B (analysis_findings inheritance via term_name resolution) was implemented in an earlier hotfix (Data_Analysis.py L453-462) and extended to Business_Glossary.py L1095 under a follow-up hotfix. Intent was that a re-created term (post-archive) would inherit the archived sibling's profiling/validation findings so the user would not have to redo that LLM work. In practice the inheritance created multiple UI inconsistency bugs: Data Analysis tab showed the inherited findings but the S2T Specification tab guard did not, and even after propagation, the two tabs presented conflicting term_id contexts (archived vs active) depending on which screen surfaced first. User reviewed and decided: archive is final, clean semantic beats convenience.","Reverted both sites to naive business_term_id match. Data_Analysis.py L444-454 now does `term_findings = findings[findings['business_term_id'] == term_id]`. Business_Glossary.py `_load_term_analysis_findings` signature dropped the term_name parameter and the matching_ids resolver; body is a single load-all-then-filter by exact business_term_id. Stripped all ""Fix B"" / ""inheritance"" / ""term_name resolution"" comments. grep `matching_term_ids`, `isin(matching`, `Fix B` across app/ returns zero hits.","BG027 (fresh draft, same term_name as archived BG026) now shows zero previous findings on Data Analysis tab — previously Fix B showed 5 inherited rows. S2T Specification tab still shows ""Data analysis has not been performed"" warning for BG027 — consistent with Data Analysis tab. BG026 (archived) retains its 5 findings as audit trail. Active terms with their own findings (e.g. BG007 7 findings) are unchanged. Active terms with no findings (e.g. BG023) unchanged.","Archive is final — once a term is archived, its analysis_findings stay with the archived term_id as audit trail and do not follow a re-created same-named term. A re-created term starts with zero findings and must run fresh Guided Analysis. This produces a clean per-term-id semantic that matches how s2t_mapping and domain_facts already behave. See RULE 42 revision #5. Cross-term data bleeding was causing more bugs than it solved (decision #66 hotfix 8 caught the first; hotfix 8 extension caught the second; a third surfaced with analyst confusion about which term ""owned"" a profiling run).",v2.0.5,true,false
68,2026-04-19,source_column_roles_seed_and_classifier,"The source-column classification work needs a per-column role metadata seed (source_column_roles) plus an invocation pipeline (scripts/classify_source_columns.py) that applies the 5-role classification rules to every raw_sap.* column, with RULE 21 cache-gating, RULE 37 write-boundary guard, RULE 38 LLM retry pattern, and user-override preservation across re-runs. The design specifies a five-stage pipeline, three invocation modes, and an audit-log-first write order.","Added two empty seeds (source_column_roles with 13 cols, source_column_role_changes with 11 cols, LF-only per RULE 34). Registered schema.yml tests (not_null, accepted_values for role/role_confidence/role_source/to_role/to_source, dbt_utils.unique_combination_of_columns on (table_name,column_name), expression_is_true for user_override_reason required when role_source='user_override'). Registered source_column_roles in app/_csv_safeguard.SAFEGUARDED_SEEDS with floor=10 (loosened from the designed steady-state floor of 495 so partial/--table runs aren't blocked — bump once cold-start steady-state known). Added _check_source_column_roles in scripts/_sidecar.py so check_artifact_staleness() supports the new artifact. Wired both new seeds into scripts/end_of_task.py scanner_seeds. Implemented scripts/classify_source_columns.py (~500 LOC) with all 5 stages plus apply_user_override() helper for the future Streamlit UI. Mechanical-rule pass consults sap_data_dictionary.data_type first (catches SAP DATS/QUAN/CURR/DEC codes that DuckDB stores as VARCHAR/DOUBLE) before falling back to DuckDB type.","dbt seed --full-refresh --select source_column_roles source_column_role_changes → CREATE 0 for both (empty headers loaded cleanly). dbt test on both seeds → 18/18 PASS. Dry-run against live raw_sap (314 columns across 41 tables): 29 mechanical-settled + 285 LLM-queued (50-row cap → 235 deferred by design). --table ekko dry-run: 17 cols, 4 mechanical-settled. check_artifact_staleness('source_column_roles') correctly reports stale on first run (no sidecar yet).","Pipeline is wired and verified dry-run against live DB without burning LLM tokens. Cold-start execution is gated behind explicit CLI invocation (python scripts/classify_source_columns.py) so the ~$0.18 / ~15-min burn only happens when the user is ready. Once cold-start runs, (a) bump _csv_safeguard floor from 10 to ~280 (99% of observed cold-start row count), (b) wire an optional delta invocation inside end_of_task.py (currently manual) with the 50-row cap intact.",v2.1.0,false,false
69,2026-04-19,phase_15a_roadmap_reorg_context_assembly_helper,"The column-role classifier shipped. Audit of Create S2T prompt revealed 7 of 9 candidate seeds (sap_data_dictionary, source_column_roles, movement_type_mapping, vendor_catalog, cpe_catalog, procurement_rules, z_tables_catalog, org_structure — plus abap_logic_catalog unfiltered) are invisible or poorly integrated. Every future LLM call (EDA SQL generation, classification, storytelling, chat) would replicate the same gap if built with ad-hoc context assembly. Learning loop across the EDA analyses cannot close without a unified retrieval path.","Introduce assemble_context(purpose, term_id, scope_tables, max_tokens, strict) helper as single retrieval entry point for all LLM calls in the system. Six layers (static catalog / dynamic learning / ontology / examples / business / archived) with purpose-specific weight matrix. Scope resolution via 5-strategy cascade with Strategy 4 (LLM extraction) using direct _post_claude to avoid recursion. Anthropic messages.count_tokens tokenizer with per-layer cache. Strict mode raises ContextDegradedError when HEAVY layer empty. Weight tuning via manual review of 3 proxies (per-layer token distribution, output substring match, human scorecards). Roadmap reorganized: design this helper first, then implement it alongside the Completeness + Dimensions analyzers (proving loop closure), then Magnitude + 1 more, then the Create S2T migration. The design doc incorporates 7 clarifications from your review.",Design doc committed. No code yet. No seeds modified beyond this known_decisions row.,Design-only record. Helper not implemented; implementation does not start until user approves the design and authorizes it.,v2.1.0,false,false
70,2026-04-19,phase_15a_piece_4_v3_second_review_round_resolved,"v2 of the context-assembly helper design incorporated 7 clarifications from your first review. You produced a second review round identifying 7 residual worries: mtime-based fingerprint unreliable on Windows, helper-disabled A/B path unnecessary, Strategy 3 OBT scoping ambiguous, strict mode too aggressive for sparse seeds, weight tuning lacks telemetry capture, tokenizer cache unbounded, the Create S2T migration A/B lacks pass criteria.","v3 design resolves all 7: fingerprint uses sha256 content hash via _sidecar.compute_file_hash (not mtime); A/B test replaced with temporal Dimensions -> Completeness -> Dimensions sequence (no parallel code path); Strategy 3 narrowed to business_term_analysis_results only (domain OBT removed); per-layer empty definitions added with static layer's 3-source fallback (sap_data_dictionary OR source_column_roles OR information_schema.columns); logs/assemble_context.jsonl telemetry log shipped with the helper implementation; tokenizer cache size cap acknowledged as future cleanup; the Create S2T migration A/B gets 5 bright-line pass criteria (compile, RULE 40 no-critical, no hallucinated columns, token budget, human sign-off).","v3 of the design doc saved (597 lines), closing line mentions both review rounds. No code yet.",Design-only record. Second review round's worries fully addressed in v3. Helper not implemented; implementation does not start until user approves v3 and authorizes it.,v2.1.0,false,false
